\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   921.1085901  3.9833866e+05 
 0   921.1290240  3.9836697e+05 
 0   921.1494581  3.9832697e+05 
 0   921.1698919  3.9837209e+05 
 0   921.1903258  3.9834716e+05 
 0   921.2107599  3.9836216e+05 
 0   921.2311937  3.9835534e+05 
 0   921.2516277  3.9836912e+05 
 0   921.2720616  3.9834456e+05 
 0   921.2924955  3.9835622e+05 
 0   921.3129295  3.9834338e+05 
 0   921.3333634  3.9837038e+05 
 0   921.3537973  3.9836106e+05 
 0   921.3742313  3.9837119e+05 
 0   921.3946652  3.9835488e+05 
 0   921.4150990  3.9836466e+05 
 0   921.4355330  3.9833516e+05 
 0   921.4559670  3.9837669e+05 
 0   921.4764009  3.9836300e+05 
 0   921.4968348  3.9836281e+05 
 0   921.5172687  3.9838388e+05 
 0   921.5377028  3.9837275e+05 
 0   921.5581366  3.9838584e+05 
 0   921.5785705  3.9837847e+05 
 0   921.5990045  3.9837312e+05 
 0   921.6194384  3.9836547e+05 
 0   921.6398723  3.9838259e+05 
 0   921.6603063  3.9833925e+05 
 0   921.6807401  3.9835484e+05 
 0   921.7011740  3.9834059e+05 
 0   921.7216081  3.9836166e+05 
 0   921.7420419  3.9834828e+05 
 0   921.7624759  3.9835106e+05 
 0   921.7829098  3.9834397e+05 
 0   921.8033437  3.9839994e+05 
 0   921.8237777  3.9835872e+05 
